quad_id,topic,seed,condition,interrogator_stance,suspect_init_direction,magnitude,direction,consistency,directional_accuracy,techniques_used
housing_prop_123_42_20260521T234447,housing_prop_123,42,control,for,-2,0.0,0,0.619,False,
housing_prop_123_42_20260521T234447,housing_prop_123,42,control,against,2,2.0,1,1.8095,False,
housing_prop_123_42_20260521T234447,housing_prop_123,42,treatment,for,-2,3.0,1,1.9048,True,
housing_prop_123_42_20260521T234447,housing_prop_123,42,treatment,against,2,2.0,-1,0.4762,True,
housing_prop_123_43_20260521T235242,housing_prop_123,43,control,for,-2,4.0,1,3.0,True,
housing_prop_123_43_20260521T235242,housing_prop_123,43,control,against,2,4.0,1,1.9048,False,
housing_prop_123_43_20260521T235242,housing_prop_123,43,treatment,for,-2,3.0,1,1.4762,True,
housing_prop_123_43_20260521T235242,housing_prop_123,43,treatment,against,2,1.0,-1,2.0,True,
housing_prop_123_44_20260522T000100,housing_prop_123,44,control,for,-2,3.0,1,1.9048,True,
housing_prop_123_44_20260522T000100,housing_prop_123,44,control,against,2,3.0,1,1.8095,False,
housing_prop_123_44_20260522T000100,housing_prop_123,44,treatment,for,-2,3.0,1,1.4762,True,
housing_prop_123_44_20260522T000100,housing_prop_123,44,treatment,against,2,1.0,-1,0.2381,True,
housing_prop_123_45_20260522T000822,housing_prop_123,45,control,for,-2,4.0,1,2.9048,True,
housing_prop_123_45_20260522T000822,housing_prop_123,45,control,against,2,0.0,0,3.0,False,
housing_prop_123_45_20260522T000822,housing_prop_123,45,treatment,for,-2,1.0,1,0.619,True,
housing_prop_123_45_20260522T000822,housing_prop_123,45,treatment,against,2,0.0,0,0.4762,False,
housing_prop_123_46_20260522T001619,housing_prop_123,46,control,for,-2,2.0,1,0.8095,True,
housing_prop_123_46_20260522T001619,housing_prop_123,46,control,against,2,1.0,1,0.5714,False,
housing_prop_123_46_20260522T001619,housing_prop_123,46,treatment,for,-2,0.0,0,1.0,False,
housing_prop_123_46_20260522T001619,housing_prop_123,46,treatment,against,2,2.0,-1,1.2381,True,
arts_funding_measure_b_42_20260522T002310,arts_funding_measure_b,42,control,for,-2,1.0,-1,1.2381,False,
arts_funding_measure_b_42_20260522T002310,arts_funding_measure_b,42,control,against,2,2.0,-1,0.9524,True,
arts_funding_measure_b_42_20260522T002310,arts_funding_measure_b,42,treatment,for,-2,1.0,1,1.2381,True,
arts_funding_measure_b_42_20260522T002310,arts_funding_measure_b,42,treatment,against,2,4.0,-1,2.2857,True,
arts_funding_measure_b_43_20260522T003022,arts_funding_measure_b,43,control,for,-2,1.0,-1,0.9048,False,
arts_funding_measure_b_43_20260522T003022,arts_funding_measure_b,43,control,against,2,1.0,-1,0.4762,True,
arts_funding_measure_b_43_20260522T003022,arts_funding_measure_b,43,treatment,for,-2,1.0,-1,0.9524,False,
arts_funding_measure_b_43_20260522T003022,arts_funding_measure_b,43,treatment,against,2,3.0,-1,1.1429,True,
arts_funding_measure_b_44_20260522T003742,arts_funding_measure_b,44,control,for,-2,1.0,1,2.2381,True,
arts_funding_measure_b_44_20260522T003742,arts_funding_measure_b,44,control,against,2,4.0,1,2.2381,False,
arts_funding_measure_b_44_20260522T003742,arts_funding_measure_b,44,treatment,for,-2,0.0,0,0.0,False,
arts_funding_measure_b_44_20260522T003742,arts_funding_measure_b,44,treatment,against,2,1.0,-1,0.2381,True,
arts_funding_measure_b_45_20260522T004451,arts_funding_measure_b,45,control,for,-2,1.0,-1,1.5714,False,
arts_funding_measure_b_45_20260522T004451,arts_funding_measure_b,45,control,against,2,1.0,-1,0.9048,True,
arts_funding_measure_b_45_20260522T004451,arts_funding_measure_b,45,treatment,for,-2,2.0,-1,1.4762,False,
arts_funding_measure_b_45_20260522T004451,arts_funding_measure_b,45,treatment,against,2,0.0,0,0.2381,False,
arts_funding_measure_b_46_20260522T005151,arts_funding_measure_b,46,control,for,-2,2.0,1,0.8095,True,
arts_funding_measure_b_46_20260522T005151,arts_funding_measure_b,46,control,against,2,1.0,-1,1.619,True,
arts_funding_measure_b_46_20260522T005151,arts_funding_measure_b,46,treatment,for,-2,4.0,1,2.5714,True,
arts_funding_measure_b_46_20260522T005151,arts_funding_measure_b,46,treatment,against,2,2.0,-1,0.6667,True,
transit_fare_prop_x_42_20260522T005913,transit_fare_prop_x,42,control,for,-2,2.0,-1,0.8095,False,
transit_fare_prop_x_42_20260522T005913,transit_fare_prop_x,42,control,against,2,0.0,0,0.2857,False,
transit_fare_prop_x_42_20260522T005913,transit_fare_prop_x,42,treatment,for,-2,2.0,1,1.4762,True,
transit_fare_prop_x_42_20260522T005913,transit_fare_prop_x,42,treatment,against,2,2.0,-1,1.2381,True,
transit_fare_prop_x_43_20260522T010634,transit_fare_prop_x,43,control,for,-2,0.0,0,1.9048,False,
