quad_id,topic,seed,condition,interrogator_stance,suspect_init_direction,turn,stance_score
davis_measure_v_village_farms_42_20260528T105135,davis_measure_v_village_farms,42,control,for,-2,6,-1
davis_measure_v_village_farms_42_20260528T105135,davis_measure_v_village_farms,42,control,against,2,6,-2
davis_measure_v_village_farms_42_20260528T105135,davis_measure_v_village_farms,42,treatment,for,-2,6,0
davis_measure_v_village_farms_42_20260528T105135,davis_measure_v_village_farms,42,treatment,against,2,6,-1
davis_measure_v_village_farms_43_20260528T110240,davis_measure_v_village_farms,43,control,for,-2,6,-2
davis_measure_v_village_farms_43_20260528T110240,davis_measure_v_village_farms,43,control,against,2,6,1
davis_measure_v_village_farms_43_20260528T110240,davis_measure_v_village_farms,43,treatment,for,-2,6,-2
davis_measure_v_village_farms_43_20260528T110240,davis_measure_v_village_farms,43,treatment,against,2,6,-1
davis_measure_v_village_farms_44_20260528T111254,davis_measure_v_village_farms,44,control,for,-2,6,0
davis_measure_v_village_farms_44_20260528T111254,davis_measure_v_village_farms,44,control,against,2,6,2
davis_measure_v_village_farms_44_20260528T111254,davis_measure_v_village_farms,44,treatment,for,-2,6,-1
davis_measure_v_village_farms_44_20260528T111254,davis_measure_v_village_farms,44,treatment,against,2,6,2
davis_measure_v_village_farms_45_20260528T112247,davis_measure_v_village_farms,45,control,for,-2,6,-1
davis_measure_v_village_farms_45_20260528T112247,davis_measure_v_village_farms,45,control,against,2,6,2
davis_measure_v_village_farms_45_20260528T112247,davis_measure_v_village_farms,45,treatment,for,-2,6,1
davis_measure_v_village_farms_45_20260528T112247,davis_measure_v_village_farms,45,treatment,against,2,6,-1
davis_measure_v_village_farms_46_20260528T113235,davis_measure_v_village_farms,46,control,for,-2,6,1
davis_measure_v_village_farms_46_20260528T113235,davis_measure_v_village_farms,46,control,against,2,6,1
davis_measure_v_village_farms_46_20260528T113235,davis_measure_v_village_farms,46,treatment,for,-2,6,1
davis_measure_v_village_farms_46_20260528T113235,davis_measure_v_village_farms,46,treatment,against,2,6,-1
